Media ID,Media created,Day of week,Media type,Media caption,Comments count,Like count,Media impressions,Media reach,Unique saves
1.80339E+16,07/05/2020 12:45,4 Thursday,IMAGE,"¿Aún no tienes regalo para este día de las madres?
Aprovecha nuestro 15% de descuento en toda la tienda hasta el 10 de Mayo.",1,117,2520,2167,2
1.7857E+16,12/05/2020 17:23,2 Tuesday,IMAGE,¿Estás buscando una talla y color específico y no la encuentras disponible en nuestra página? Envíanos un mensaje y priorízanos tu pedido para el lote de producción que estamos por enviar.,1,43,1482,1294,0
1.81183E+16,16/05/2020 16:03,6 Saturday,IMAGE,"Artesanal, mexicano, único.",1,136,2162,1825,8
1.80944E+16,20/05/2020 19:44,3 Wednesday,IMAGE,Tu estilo.,0,49,1531,1343,8
1.79569E+16,25/05/2020 15:12,1 Monday,IMAGE,"¡20% de descuento en toda la tienda toda la semana! 
No te quedes sin la tuya.",0,85,2105,1811,0
1.81089E+16,27/05/2020 19:24,3 Wednesday,CAROUSEL_ALBUM,"¿Te gustó la playera “Un poquito de amor” de @yosoycaztro ?

Pronto podrás conocer más sobre nuestra colaboración.",19,117,2415,1840,4
1.78636E+16,30/05/2020 13:45,6 Saturday,IMAGE,"¿Quieres aprovechar nuestro 20% de Hot Sale pero no encuentras la playera que buscas? 
Envíanos un DM y te anotamos tu pedido para nuestro siguiente lote de producción y te respetamos el descuento.",1,81,1749,1505,0
1.79443E+16,02/06/2020 10:05,2 Tuesday,IMAGE,✊🏿✊🏾✊🏽✊🏼✊🏻 #BlackoutTuesday,0,57,1221,1140,0
1.78651E+16,05/06/2020 12:00,5 Friday,IMAGE,"Conoce más de nuestra colaboración con @ulaki.dc en nuestra página web www.xhindo.com y se parte de su causa con la compra de una playera bordada a mano por artesanas mexicanas✨ | #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.
#mexico #hechoenméxico #handmade #slowfashion",6,31,1181,1056,0
1.78572E+16,06/06/2020 12:00,6 Saturday,IMAGE,"Únete al proyecto de @ulaki.dc con la compra de una playera inspirada en la  Huasteca para la conservación del parque🍃| #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.
#Mexico #HandMade #Nature #SlowFashion",0,54,1936,1673,0
1.78966E+16,07/06/2020 11:57,7 Sunday,IMAGE,"¿Quieres dejar huella? Únete al proyecto @ulaki.dc comprando una playera inspirada en la Huasteca, el 10% de las ganancias se donará a la conservación del parque🌾| #XHINDÓ #UnaPlayeraALaVez .
.
.
.
.
.
.
#Mexico #HechoEnMexico #HandMade #slowfashion",2,40,1095,979,0
1.78576E+16,08/06/2020 12:03,1 Monday,IMAGE,"Diseño hecho a mano por artesanas mexicanas inspirado en la Huasteca, consigue la tuya y apoya el proyecto de @ulaki.dc 💫| #XHINDÓ #UnaPlayeraALaVez .
.
.
.
.
.
.
.
#Mexico #HechoEnMexico #HandMade #SlowFashion",1,70,2146,1865,3
1.78653E+16,09/06/2020 12:06,2 Tuesday,IMAGE,"Consigue tu playera inspirada en la Huasteca y se parte el proyecto de @ulaki.dc 🍃| #XHINDÓ #UnaPlayeraALaVez .
.
.
.
.
.
.
.
#Mexico #HechoEnMexico #HandMade #SlowFashion",2,47,1253,1117,5
1.78546E+16,10/06/2020 12:01,3 Wednesday,IMAGE,"Conoce más de nuestra colaboración con @ulaki.dc en nuestra página web www.xhindo.com y se parte del proyecto consiguiendo tu playera inspirada en la Huasteca bordada a mano por artesanas mexicanas☀️ | #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.
#Mexico #HechoEnMexico #HandMade #SlowFashion",1,67,1583,1452,6
1.78772E+16,11/06/2020 12:20,4 Thursday,IMAGE,"Conoce más de nuestra colaboración con @ulaki.dc en nuestra página web www.xhindo.com y se parte del proyecto consiguiendo tu playera inspirada en la Huasteca bordada a mano por artesanas mexicanas🌾| #XHINDÓ #UnaPlayeraALaVez
.
.
.
.
.
.
.
.
#Mexico #HandMade #Nature #SlowFashion",0,60,1870,1628,4
1.78479E+16,17/06/2020 12:10,3 Wednesday,IMAGE,"Se parte de nosotros, se parte de nuestro cambio. | #XHINDÓ #UnaPlayeraALaVez",3,60,3075,2598,4
1.78874E+16,17/06/2020 12:22,3 Wednesday,IMAGE,"Creando nuevas conexiones y nuevos caminos. | #XHINDÓ
#UnaPlayeraALaVez",1,98,1806,1615,1
1.78859E+16,17/06/2020 12:23,3 Wednesday,IMAGE,Nos estamos renovando. | #XHINDÓ #UnaPlayeraALaVez,3,28,1039,964,0
1.79559E+16,18/06/2020 18:10,4 Thursday,IMAGE,"Luchamos contra la falta de oportunidades y el ingreso injusto a personas de comunidades rurales ayudando a nuestras artesanas a empoderarse y tener una buena calidad de vida.🌵| #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Artisan #Art #HechoConAmor #HechoAMano #Fashion #Mexico",0,57,2222,1941,8
1.78489E+16,19/06/2020 15:01,5 Friday,IMAGE,"¿Cuál es la magia de XHINDÓ? Las manos de nuestro equipo de mujeres artesanas que le dan vida a cada diseño, a cada playera. Gracias a ustedes por dar todo su amor en cada puntada. | #XHINDÓ #UnaPlayeraALaVez⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Artisan #Art #HechoConAmor #MadeWithLove #HechoAMano #Fashion #Mexico #HechoEnMexico #MadeInMexico",0,350,3407,3036,14
1.78724E+16,19/06/2020 21:00,5 Friday,IMAGE,"La felicidad cobra sentido cuando es compartida. | #XHINDÓ #UnaPlayeraALaVez ⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
.⠀⠀⠀⠀⠀⠀⠀⠀⠀
#Artisan #Art #HechoConAmor #MadeWithLove #HechoAMano #Fashion #Mexico #HechoEnMexico #MadeInMexico",0,24,838,773,0
